parent_arb_id,client_order_id,instrument_id,venue,side,fill_px_paise,fill_qty,ts_fill_ns
SIM-ARB-1-1,SIM-ARB-1-1-NSE-SELL-ALPHA_SELL-1,1,NSE,SELL,110050,100,3584261798984
SIM-ARB-1-1,SIM-ARB-1-1-BSE-BUY-HEDGE-3,1,BSE,BUY,110000,100,3584261804832
