instrument_id,symbol,isin,nse_token,bse_token,tick_size_paise,lot_size
1,INFY,INE009A01021,1594,500209,5,1
2,TCS,INE467B01029,11536,532540,5,1
3,RELIANCE,INE002A01018,2885,500325,5,1
4,HDFCBANK,INE040A01034,1333,500180,5,1
5,ICICIBANK,INE090A01021,4963,532174,5,1
